!!!	국가	미국
!!!	장르	댄스 펑크
!!!	장르	인디 록
하마키스	국가	일본
하마키스	제작	TV 아사히
하마키스	출연	Kis-My-Ft2
하마토라	연재	주간 영 점프
하마토라	제작	Lerche
하마토라	제작	애니맥스
하마토라	출판사	슈에이샤
하마토라	플랫폼	닌텐도 3DS
하마톤베쓰정	국가	일본
하마톤베쓰정	주소	홋카이도
하망동	법정동	하망동
하명지	국적	대한민국
하명지	장르	트로트
하명지	직책	MC
하명지	직책	가수
하모하모	국가	대한민국
하모하모	그룹	NRG
하모하모	그룹	뮤직팩토리 엔터테인먼트
하모하모	장르	댄스 팝
하바고추	속	고추속
하바고추	원산지	필리핀
하바고추	종	고추
하바롭스크	국가	러시아
하바롭스크	주소	극동 연방관구
하백초등학교	관할	광주광역시동부교육지원청
하백초등학교	국가	대한민국
하보로선	국가	일본
하보로선	소유자	일본국유철도
하보로선	운영	일본국유철도
하보로정	국가	일본
하보로정	주소	홋카이도
하비키노시	국가	일본
하비키노시	주소	긴키 지방
하빈면	법정리	기곡리
하빈면	법정리	무등리
하서초등학교	관할	전라북도부안교육지원청
하서초등학교	국가	대한민국
하석	국적	대한민국
하석	사망일	서울특별시
하석주	현소속팀	아주대학교
하석진	직책	배우
하성고등학교	개교	1975년
하성고등학교	관할	경기도교육청
하성고등학교	교장	김택환
하성고등학교	국가	대한민국
하성식	국적	대한민국
하성식	종교	불교
하성식	직책	정치인
하성용	국적	대한민국
하성용	사망일	대한민국
하세빈	국적	대한민국
하세빈	본명	하세빈
하세빈	악기	기타
하세빈	악기	피아노
하세빈	장르	팝 록
하세빈	장르	포스트 록
하세빈	장르	피아노 록
하세빈	직책	작곡가
하소역	종류	폐역
하소역	폐지일시	1950년
하송	국적	대한민국
하송	사망일	1976년
하송	학력	서울대학교
하송연	국적	대한민국
하송연	직책	기자
하수민	국적	대한민국
하수민	그룹	다인엔터테인먼트
하수민	직책	배우
하수빈	국적	대한민국
하수빈	본명	하수빈
하수빈	사망일	서울특별시
하수빈	악기	바이올린
하수빈	악기	피아노
하수빈	직책	가수
하수빈	직책	작곡가
하수빈	직책	작사가
하수연가	언어	한국어
하수연가	장르	인디 록
하수연가	장르	하드코어 펑크
하수연가	종류	CD
하수연가	프로듀서	크라잉넛
하순봉	국적	대한민국
하순봉	그룹	자유한국당
하순봉	의원선수	4
하스스톤	개발사	블리자드 엔터테인먼트
하스스톤	게임모드	멀티플레이어
하스스톤	배급	블리자드 엔터테인먼트
하스스톤	시리즈	워크래프트
하스스톤	엔진	유니티
하스스톤	입력	마우스
하스스톤	입력	키보드
하스스톤	입력	터치스크린
하스스톤	출현일	마이크로소프트 윈도우
하스스톤	출현일	아이패드
하스스톤	출현일	아이폰
하스스톤	출현일	윈도우 8
하스스톤	플랫폼	아이패드
하스스톤	플랫폼	아이폰
하스스톤	플랫폼	안드로이드
하스스톤	플랫폼	윈도
하스켈	발행일	1990년
하스켈	운영체제	크로스 플랫폼
하슬	장르	댄스 팝
하슬	직책	가수
하슬라중학교	개교	1981년
하슬라중학교	관할	강원도강릉교육지원청
하슬라중학교	국가	대한민국
하승리	종교	기독교
하승리	직책	배우
하승무	국적	대한민국
하승무	종교	장로교
하승수	국적	대한민국
하승수	그룹	녹색당
하승진	국적	대한민국
하승진	대학교	연세대학교
하승진	리그	KBL
하승진	포지션	센터
하시은	국적	대한민국
하시은	본명	이시은
하시은	직책	배우
하시카미정	국가	일본
하시카미정	주소	도호쿠 지방
하아인뚜언	국적	베트남
하아인뚜언	직책	가수
하안남초등학교	관할	경기도광명교육지원청
하안남초등학교	국가	대한민국
하안동	법정동	하안동
하안북중학교	개교	1976년
하안북중학교	관할	경기도광명교육지원청
하안북중학교	교감	김영우
하안북중학교	교장	김은희
하안북중학교	국가	대한민국
하안초등학교	관할	경기도광명교육지원청
하안초등학교	국가	대한민국
하야마정	국가	일본
하야마정	주소	간토 지방
하야카와정	국가	일본
하야카와정	주소	야마나시현
하얀나비	국가	대한민국
하얀나비	배급	인디스토리
하얀나비	시간	90분
하얀나비	언어	한국어
하얀나비	음악	송준석
하얀미소	감독	김수용
하얀미소	국가	대한민국
하얀미소	언어	한국어
하얀미소	음악	강근식
하얀미소	저자	정지영
하얀미소	편집	김희수
하얏트	국가	미국
하얏트	본사위치	미국
하얏트	본사위치	시카고
하얏트	창립	1957년
하양여자고등학교	관할	경상북도교육청
하양여자고등학교	교감	이원배
하양여자고등학교	교장	김성홍
하양여자고등학교	국가	대한민국
하양초등학교	교감	이상철
하양초등학교	교장	권영철
하양초등학교	국가	대한민국
하연수	직책	배우
하연주	그룹	화이브라더스
하연주	직책	배우
하영민	국적	대한민국
하영민	소속일	2014년
하영민	포지션	투수
하오사오원	국적	타이완
하오사오원	직책	배우
하오징팡	국적	중국
하오징팡	직책	소설가
하와이군	창립	1905년
하용석	국적	대한민국
하용석	소속일	1989년
하용석	포지션	포수
하용조	국적	대한민국
하용조	직책	교수
하용조	직책	목사
하우등	감독	김시언
하우등	국가	대한민국
하우등	언어	한국어
하우등	저자	김시언
하우등	촬영	홍경표
하우리	국가	대한민국
하우리	본사위치	대한민국
하우리	산업	정보 보안
하우스룰즈	국가	대한민국
하우스룰즈	음반레이블	소리바다
하우스룰즈	장르	하우스
하우스바운드	국가	뉴질랜드
하우스바운드	언어	영어
하우시스이엔지	국가	대한민국
하우시스이엔지	본사위치	대한민국
하우시스이엔지	창립	2009년
하우시스이엔지	해체	2018년
하윤	국적	조선
하윤	직책	문관
하윤경	국적	대한민국
하윤경	본명	하윤경
하윤원	국적	고려
하윤원	직책	문관
하의고등학교	개교	1986년
하의고등학교	관할	전라남도교육청
하의고등학교	교감	이석두
하의고등학교	교장	김종철
하의고등학교	교훈	성실
하의고등학교	국가	대한민국
하의중학교	개교	1965년
하의중학교	관할	전라남도신안교육지원청
하의중학교	교감	이석두
하의중학교	교장	김종철
하의중학교	교훈	성실
하의중학교	국가	대한민국
하의초등학교	관할	전라남도신안교육지원청
하의초등학교	국가	대한민국
하이니	사망일	1992년
하이니	사망일	대한민국
하이니	직책	가수
하이데라바드국	언어	마라티어
하이데라바드국	언어	우르두어
하이데라바드국	언어	칸나다어
하이데라바드국	언어	텔루구어
하이데라바드국	언어	페르시아어
하이데라바드국	종교	이슬람교
하이데라바드국	종교	힌두교
하이리빙	국가	대한민국
하이리빙	본사위치	대한민국
하이리빙	산업	생활용품
하이리빙	산업	화장품
하이리빙	제품	보험
하이리빙	제품	통신
하이리빙	제품	화장품
하이리빙	창립	1996년
하이바쯩군	국가	베트남
하이바쯩군	성	하노이
하이바쯩군	우편번호	10
하이바쯩군	전화	24
하이바쯩군	주소	홍강 삼각주
하이버네이트	개발자	레드햇
하이버네이트	프로그래밍언어	자바
하이버네이트	플랫폼	자바 가상 머신
하이비젼시스템	국가	대한민국
하이비젼시스템	본사위치	대한민국
하이수현	그룹	YG 엔터테인먼트
하이수현	활동분야	2014년
하이얼	국가	중화인민공화국
하이얼	본사위치	중화인민공화국
하이얼	제품	냉장고
하이얼	제품	에어컨
하이얼	제품	텔레비전
하이얼	창립	1984년
하이엔스	국가	대한민국
하이엔스	산업	무역
하이엔스	창립	2006년 6월
하이코	국적	아르메니아
하이코	직책	가수
하이터치☆메모리	장르	J-pop
하이터치☆메모리	장르	애니메이션 음악
하이터치☆메모리	종류	CD 싱글
하이텐션	음반레이블	You
하이텐션	장르	You
하이텐션	프로듀서	아키모토 야스시
하이트진로홀딩스	국가	대한민국
하이트진로홀딩스	인물	김인규
하이트진로홀딩스	제품	맥주
하이트진로홀딩스	제품	소주
하이트진로홀딩스	제품	양주
하이트진로홀딩스	제품	음료
하이퐁역	승강장구조	지상역
하인즈	국가	미국
하인즈	본사위치	미국
하인즈	산업	식품 가공
하인투이	국적	베트남
하인투이	직책	배우
하일권	학력	동성고등학교
하일중학교	관할	경상남도고성교육지원청
하일중학교	국가	대한민국
하일참행복	감독	천위산
하일참행복	국가	중화민국
하일참행복	시간	90분
하일참행복	장르	텔레비전 드라마
하일참행복	저자	천위산
하일참행복	출연	안이쉬안
하일참행복	출연	우젠하오
하자센터	종류	NPO
하자종	국적	고려
하자종	국적	조선
하자종	직책	문관
하장중학교	개교	1969년
하장중학교	관할	강원도삼척교육지원청
하장중학교	교감	김현구
하장중학교	국가	대한민국
하장초등학교	관할	강원도삼척교육지원청
하장초등학교	교감	김창영
하장초등학교	교장	김정옥
하장초등학교	국가	대한민국
하재봉	국적	대한민국
하재봉	장르	소설
하재봉	장르	수필
하재봉	장르	평론
하재봉	종교	불교
하재봉	직책	소설가
하재봉	직책	시인
하재상	국적	대한민국
하재상	그룹	-
하재상	순위	40
하재숙	국적	대한민국
하재숙	직책	배우
하재연	국적	대한민국
하재연	사망일	1975년
하재연	사망일	서울특별시
하재연	장르	시
하재연	직책	교수
하재연	직책	시인
하정우	국적	대한민국
하정우	본명	김성훈
하정우	직책	각본가
하정우	직책	배우
하정우	직책	화가
하정은	국가	대한민국
하정은	국적	대한민국
하주석	국적	대한민국
하주석	소속일	2012년
하주석	포지션	유격수
하주연	장르	랩
하주연	장르	힙합
하주연	종교	개신교
하준영	국적	대한민국
하준영	소속일	2018년
하준영	포지션	투수
하중초등학교	관할	경기도시흥교육지원청
하중초등학교	국가	대한민국
하즙	국적	고려
하즙	그룹	무소속
하지노사토역	관할	긴키 닛폰 철도
하지영	국적	대한민국
하지영	본명	서지영
하지현	언어	영어
하지현	언어	한국어
하지현	장르	수필
하지현	장르	평론
하지현	직책	의사
하지현	직책	저술가
하직의	국적	고려
하창환	그룹	자유한국당
하창환	전임	심의조
하춘화	장르	트로트
하춘화	직책	가수
하츠	국가	대한민국
하츠	본사위치	대한민국
하치만타이시	국가	일본
하치만타이시	주소	도호쿠 지방
하치오지시	국가	일본
하치오지시	주소	간토 지방
하카스어	어족	하카스어
하카어	국가	말레이시아
하카어	국가	싱가포르
하카어	국가	중화민국
하카어	국가	중화인민공화국
하카어	국가	필리핀
하카어	어족	중국어
하카어	어족	중국티베트어족
하카타미나미선	국가	일본
하카타미나미선	소유자	서일본 여객철도
하카타미나미선	역수	2
하쿠비선	국가	일본
하쿠비선	소유자	서일본 여객철도
하쿠비선	역수	28
하쿠비선	운영	서일본 여객철도
하쿠호도제일	국가	대한민국
하쿠호도제일	본사위치	대한민국
하쿠호도제일	산업	광고
하탑중학교	개교	1994년
하탑중학교	관할	경기도성남교육지원청
하탑중학교	국가	대한민국
하탑초등학교	관할	경기도성남교육지원청
하탑초등학교	국가	대한민국
하태규	국가	대한민국
하태규	국적	대한민국
하태규	그룹	대전도시공사
하토가야시	국가	일본
하토가야시	주소	간토 지방
하토야마정	국가	일본
하토야마정	주소	간토 지방
하트라	구분	문화유산
하트라	주소	이라크
하트라	지정	277
하트셉수트	가문	이집트 제18왕조
하트셉수트	배우자	투트모세 2세
하트셉수트	전임	투트모세 2세
하파마	국가	아르메니아 요리
하파마	원산지	아르메니아
하판락	그룹	무소속
하판락	대통령	이승만
하판락	본관	진주
하프엉	국적	베트남
하프엉	직책	가수
하하	국적	대한민국
하하	그룹	QUAN 엔터테인먼트
하하	장르	레게
하하	장르	힙합
하하	직책	MC
하하	직책	가수
하현곤	그룹	클릭비
하현곤	장르	록 밴드
하현곤	직책	가수
하현우	그룹	국카스텐
하현우	악기	기타
하현우	악기	피아노
하현우	장르	록
하현우	직책	가수
하현우	직책	싱어송라이터
하현우	직책	음악 프로듀서
하후무	배우자	청하공주
하후무	부모	하후돈
하후무	작위	열후
하후연	국적	후한
하후연	그룹	동관 전투
하후연	사망원인	전사
하후휘	출생지	중국
하휘동	국적	대한민국
하휘동	배우자	최수진
하희라	배우자	최수종
하희라	직책	배우
학교버스터미널	국가	대한민국
학교버스터미널	종류	터미널
학교생활!	장르	서바이벌
학교생활!	제작	AT-X
학교생활!	제작	Lerche
학교생활!	제작	애니플러스
학교생활!	출판사	호분샤
학눌	국적	대한민국
학눌	그룹	무소속
학눌	대통령	이승만
학눌	총리	이범석
학다리중앙초등학교	교장	이화진
학다리중앙초등학교	국가	대한민국
학다리중학교	개교	1945년
학다리중학교	관할	전라남도함평교육지원청
학다리중학교	국가	대한민국
학돌초등학교	관할	충청남도서산교육지원청
학돌초등학교	국가	대한민국
학동·증심사입구역	관할	광주광역시 도시철도공사
학동·증심사입구역	역번호	102
학륜당	시간대	조선
학림초등학교	관할	경상북도칠곡교육지원청
학림초등학교	국가	대한민국
학마을도서관	개관	2009년
학마을도서관	창립자	도봉구
학봉초등학교	관할	충청남도공주교육지원청
학봉초등학교	국가	대한민국
학부인	국가	대한민국
학부인	연출가	유길촌
학부인	장르	드라마
학부인	저자	김동현
학부인	출연	김관수
학부인	출연	김상순
학부인	출연	김혜자
학부인	출연	오수미
학부인	출연	윤일봉
학부인	출연	정애란
학부인	출연	최불암
학사초등학교	관할	부산광역시북부교육지원청
학사초등학교	국가	대한민국
학산여자고등학교	개교	1985년
학산여자고등학교	관할	부산광역시교육청
학산여자고등학교	국가	대한민국
학산여자중학교	개교	1946년
학산여자중학교	관할	부산광역시동래교육지원청
학산여자중학교	교장	최지원
학산여자중학교	국가	대한민국
학생부군신위	감독	박철수
학생부군신위	국가	대한민국
학생부군신위	언어	한국어
학생부군신위	저자	김상수
학생부군신위	저자	박철수
학성여객	국가	대한민국
학성여객	본사위치	대한민국
학성여객	제품	시내버스
학성여객	하위기관	용화여객
학여울역	관할	서울교통공사
학여울역	역번호	346
학운교통	국가	대한민국
학운교통	본사위치	대한민국
학운교통	제품	마을버스
학의대교	공식명칭	학의대교
학의대교	관리	한국도로공사
학의대교	국적	대한민국
학익고등학교	개교	1996년
학익고등학교	관할	인천광역시교육청
학익고등학교	교장	이원우
학익고등학교	국가	대한민국
학익동	법정동	학익동
학익여자고등학교	개교	1996년
학익여자고등학교	관할	인천광역시교육청
학익여자고등학교	교감	오현숙
학익여자고등학교	국가	대한민국
학장동	법정동	학장동
학장중학교	개교	1982년
학장중학교	관할	부산광역시북부교육지원청
학장중학교	교장	강재욱
학장중학교	국가	대한민국
학정역	관할	대구도시철도공사
학정역	역번호	313
학천초등학교	관할	경상북도포항교육지원청
학천초등학교	국가	대한민국
학하초등학교	관할	대전광역시서부교육지원청
학하초등학교	국가	대한민국
학현초등학교	관할	경기도안산교육지원청
학현초등학교	국가	대한민국
한/글	라이선스	상용 소프트웨어
한/글	언어	한국어
한/글	운영체제	리눅스
한/글	운영체제	맥
한/글	운영체제	안드로이드
한RSS	언어	일본어
한RSS	언어	한국어
한가람고등학교	개교	1997년
한가람고등학교	관할	서울특별시교육청
한가람고등학교	교감	이준희
한가람고등학교	국가	대한민국
한가람중학교	개교	2011년
한가람중학교	관할	경기도파주교육지원청
한가람중학교	국가	대한민국
한가람초등학교	관할	경기도파주교육지원청
한가람초등학교	국가	대한민국
한가인	배우자	연정훈
한가인	본명	김현주
한가인	종교	무종교
한가인	직책	배우
한강교통	국가	대한민국
한강교통	모기관	보광교통
한강교통	본사위치	대한민국
한강교통	제품	마을버스
한강교통	하위기관	고촌교통
한강교통	하위기관	금파산업
한강교통	하위기관	보광운수
한강교통	하위기관	선진운수
한강대교	관리	서울특별시청
한강대교	국적	대한민국
한강미디어고등학교	개교	1995년
한강미디어고등학교	관할	서울특별시교육청
한강미디어고등학교	국가	대한민국
한강블루스	감독	이무영
한강블루스	국가	대한민국
한강블루스	언어	한국어
한강블루스	저자	이무영
한강블루스	편집	김상범
한강블루스	편집	김재범
한강철교	관리	한국철도공사
한강철교	국적	대한민국
한겨레21	국가	대한민국
한겨레21	언어	한국어
한겨레21	편집	안수찬
한겨레고등학교	개교	2006년
한겨레고등학교	관할	경기도교육청
한겨레고등학교	교장	정숙경
한겨레고등학교	국가	대한민국
한겨레문학	국가	대한민국
한겨레문학	언어	한국어
한겨레문학	종류	문학
한겨레문학	폐지일시	1998년
한겨레중학교	개교	2006년
한겨레중학교	관할	경기도안성교육지원청
한겨레중학교	교장	정숙경
한겨레중학교	국가	대한민국
한결초등학교	관할	세종특별자치시교육청
한결초등학교	국가	대한민국
한경비즈니스	국가	대한민국
한경비즈니스	언어	한국어
한경선	국적	대한민국
한경선	종교	개신교
한경선	직책	배우
한경인	포지션	공격수
한경인	현소속팀	화성 FC
한경진	국적	대한민국
한경진	직책	기상 캐스터
한경호	국적	대한민국
한경호	그룹	무소속
한경희	국적	대한민국
한경희	사망일	대한민국
한계초등학교	관할	강원도인제교육지원청
한계초등학교	국가	대한민국
한공주	감독	이수진
한공주	국가	대한민국
한공주	언어	한국어
한공주	음악	김태성
한공주	저자	이수진
한공주	출연	정인선
한공주	출연	천우희
한공주	편집	최현숙
한광복	국적	조선민주주의인민공화국
한광복	직책	정치인
한광상	국적	조선민주주의인민공화국
한광상	사망일	1958년
한광상	직책	정치인
한광상	학력	김일성고급당학교
한광성	포지션	공격수
한광성	현소속팀	페루자
한광옥	국적	대한민국
한광옥	그룹	자유한국당
한광옥	대통령	박근혜
한광옥	의원선수	4
한광옥	전임	이원종
한광옥	종교	개신교
한광옥	총리	황교안
한광옥	후임	임종석
한광중학교	개교	1955년
한광중학교	관할	경기도평택교육지원청
한광중학교	교장	이계성
한광중학교	국가	대한민국
한구현	국적	대한민국
한구현	종교	개신교
한국	언어	한국어
한국	통화	대한민국 원
한국DMB	국가	대한민국
한국DMB	본사위치	대한민국
한국DMB	산업	방송
한국DMB	인물	김경선
한국IBM	모기관	IBM
한국IBM	제품	컴퓨터
한국IT직업전문학교	국가	대한민국
한국IT직업전문학교	창립	1998년
한국SF협회	언어	한국어
한국YMCA원주중고등학교	관할	강원도교육청
한국YMCA원주중고등학교	국가	대한민국
한국YMCA원주중고등학교	창립형태	학력인정 평생교육시설
한국e스포츠협회	언어	한국어
한국e스포츠협회	지도자	김영만
한국가구	국가	대한민국
한국가구	본사위치	대한민국
한국가구	사업내용	가구
한국거래소	국가	대한민국
한국거래소	본사위치	대한민국
한국경제TV	개국	1999년
한국경제TV	국가	대한민국
한국경제TV	모기관	한국경제신문
한국경제TV	본사위치	대한민국
한국경제TV	직원	214
한국경제신문	국가	대한민국
한국경제신문	언어	한국어
한국경진학교	관할	경기도교육청
한국경진학교	국가	대한민국
한국공항	국가	대한민국
한국공항	본사위치	대한민국
한국공항공사	국가	대한민국
한국공항공사	본사위치	대한민국
한국공항공사	제품	건설
한국공항공사	제품	부동산
한국공항공사	제품	서비스
한국과학소설작가연대	본부	서울특별시
한국과학소설작가연대	언어	한국어
한국과학소설작가연대	지도자	정소연
한국관광공사	자회사	경북관광개발공사
한국관광공사	자회사	제주국제컨벤션센터
한국관광대학교	국가	대한민국
한국관광대학교	종류	전문대학
한국관광대학교	창립	2001년
한국관광대학교	창립자	김주영
한국관광대학교	표어	봉사
한국광학회	본부	대한민국
한국광학회	언어	한글
한국교통방송	모기관	도로교통공단
한국교통안전공단	국가	대한민국
한국교통안전공단	본사위치	대한민국
한국교통안전공단	주주	대한민국 정부
한국구화학교	관할	서울특별시교육청
한국구화학교	국가	대한민국
한국국제보건의료재단	본부	대한민국
한국국제보건의료재단	언어	한글
한국국제연합봉사단	본부	대한민국
한국국제연합봉사단	언어	한글
한국국제전시	국가	대한민국
한국국제전시	산업	서비스
한국국제전시	창립	1987년
한국국제조리고등학교	개교	1982년
한국국제조리고등학교	관할	경상북도교육청
한국국제조리고등학교	교장	김일동
한국국제조리고등학교	국가	대한민국
한국글로벌중학교	개교	1968년
한국글로벌중학교	관할	경기도시흥교육지원청
한국글로벌중학교	국가	대한민국
한국기독교박물관	국가	대한민국
한국기독교박물관	운영	숭실대학교
한국기술교육대학교	국가	대한민국
한국기술교육대학교	그룹	한국기술교육대학교
한국기술교육대학교	상징	용
한국기술교육대학교	창립	1991년
한국기행	국가	대한민국
한국기행	제작	EBS 1TV
한국농수식품무역협회	본부	대한민국
한국농수식품무역협회	언어	한글
한국농촌경제연구원	국가	대한민국
한국농촌경제연구원	본사위치	대한민국
한국농촌경제연구원	창립	1978년
한국뉴욕주립대학교	국가	대한민국
한국뉴욕주립대학교	창립	2012년
한국능률협회컨설팅	국가	대한민국
한국능률협회컨설팅	본사위치	대한민국
한국능률협회컨설팅	제품	교육
한국능률협회컨설팅	제품	연수
한국단자	국가	대한민국
한국단자	본사위치	대한민국
한국도로공사	국가	대한민국
한국도로공사	본사위치	대한민국
한국도예고등학교	개교	2002년
한국도예고등학교	관할	경기도교육청
한국도예고등학교	국가	대한민국
한국독립당	이념	국민보수주의
한국독립영화협회	본부	대한민국
한국독립영화협회	언어	한글
한국동굴학회	본부	대한민국
한국동굴학회	언어	한글
한국동굴학회	창립	1973년
한국디지털병원수출조합	국가	대한민국
한국디지털병원수출조합	본사위치	대한민국
한국디지털병원수출조합	창립	2011년
한국디지털병원수출조합	창립자	이민화
한국만화박물관	공식명칭	한국만화박물관
한국만화박물관	국가	대한민국
한국만화박물관	운영	한국만화영상진흥원
한국문화영상고등학교	개교	1970년
한국문화영상고등학교	관할	경기도교육청
한국문화영상고등학교	교감	김영진
한국문화영상고등학교	교장	김만성
한국문화영상고등학교	국가	대한민국
한국문화예술위원회뉴서울컨트리클럽	국가	대한민국
한국문화예술위원회뉴서울컨트리클럽	본사위치	대한민국
한국문화예술위원회뉴서울컨트리클럽	산업	골프장
한국문화예술위원회뉴서울컨트리클럽	주소	경기도
한국문화진흥	국가	대한민국
한국문화진흥	본사위치	대한민국
한국문화진흥	순이익	166
한국문화진흥	순이익	541
한국문화진흥	주소	대한민국
한국미용직업전문학교	국가	대한민국
한국미용직업전문학교	종류	전문학교
한국미용직업전문학교	창립	1999년
한국민요대전	국가	대한민국
한국민요대전	분야	민요
한국민요대전	사회자	최상일
한국민요대전	연출가	최상일
한국민요대전	제작	MBC 표준FM
한국민족문화대백과사전	국가	대한민국
한국민족문화대백과사전	언어	한국어
한국민족문화대백과사전	장르	백과사전
한국바이오마이스터고등학교	개교	1945년
한국바이오마이스터고등학교	관할	충청북도교육청
한국바이오마이스터고등학교	교감	김원구
한국바이오마이스터고등학교	국가	대한민국
한국방송공사	지도자	양승동
한국방송광고공사	국가	대한민국
한국방송광고공사	본사위치	대한민국
한국방송광고공사	사업내용	공익광고
한국방송광고공사	주주	대한민국 정부
한국벤처농업포럼	본부	대한민국
한국벤처농업포럼	언어	한글
한국복음주의신학회	종류	신학회
한국복음주의신학회	창립	1981년
한국뷰티고등학교	개교	1969년
한국뷰티고등학교	관할	제주특별자치도교육청
한국뷰티고등학교	교감	김영식
한국뷰티고등학교	국가	대한민국
한국사기	국가	대한민국
한국사기	연출가	박상욱
한국사기	연출가	배민수
한국사기	연출가	이지희
한국사기	장르	다큐드라마
한국사기	제작	KBS 1TV
한국사기	조연출	정양석
한국사기	책임프로듀서	김종석
한국사기	해설	정유미
한국사료협회	본부	대한민국
한국사료협회	언어	한글
한국사료협회	지도자	이양희
한국사회공헌협회	국가	대한민국
한국사회공헌협회	지도자	국도형
한국산업기술문화재단	국가	대한민국
한국산업기술문화재단	본사위치	대한민국
한국산업기술문화재단	주소	대한민국
한국삼육고등학교	개교	1906년
한국삼육고등학교	관할	서울특별시교육청
한국삼육고등학교	국가	대한민국
한국삼육고등학교	그룹	삼육학원
한국삼육중학교	교장	이경희
한국삼육중학교	국가	대한민국
한국삼육중학교	그룹	삼육학원
한국삼육중학교	상징	소나무
한국삼육중학교	상징	장미
한국생명과학고등학교	개교	1933년
한국생명과학고등학교	관할	경상북도교육청
한국생명과학고등학교	교장	김봉수
한국생명과학고등학교	국가	대한민국
한국성서대학교	국가	대한민국
한국성서대학교	종교	개신교
한국성서대학교	창립	1952년
한국소방정책학회	국가	대한민국
한국소방정책학회	본사위치	대한민국
한국소방정책학회	본사위치	서울특별시
한국소방정책학회	인물	이수경
한국소방정책학회	창립	2002년
한국수력원자력	국가	대한민국
한국수력원자력	모기관	한국전력공사
한국수력원자력	본사위치	대한민국
한국수력원자력	인물	정재훈
한국수자원공사	국가	대한민국
한국수자원공사	본사위치	대한민국
한국수자원공사	순이익	318
한국식품마이스터고등학교	개교	1953년
한국식품마이스터고등학교	관할	충청남도교육청
한국식품마이스터고등학교	국가	대한민국
한국식품조리과학회	본부	대한민국
한국식품조리과학회	언어	한글
한국식품조리과학회	지도자	김향숙
한국식품조리과학회	창립	1984년
한국쌀가공식품협회	본부	대한민국
한국쌀가공식품협회	언어	한글
한국얀센	국가	대한민국
한국얀센	모기관	유한양행
한국얀센	모기관	존슨앤드존슨
한국얀센	본사위치	대한민국
한국얀센	인물	이정희
한국얀센	창립	1983년
한국양성평등교육진흥원	창립	2003년
한국양성평등교육진흥원	창립자	대한민국 정부
한국양성평등교육진흥원	협력자	대한민국 교육부
한국어린이안전재단	국가	대한민국
한국어린이안전재단	본사위치	대한민국
한국어린이안전재단	창립	2000년
한국어병학회	본부	대한민국
한국어병학회	언어	한글
한국어병학회	창립	1988년
한국어음중개	국가	대한민국
한국어음중개	본사위치	대한민국
한국어음중개	산업	금융
한국어음중개	산업	핀테크
한국에너지신문	국가	대한민국
한국에너지신문	언어	한국어
한국엔지니어링플라스틱	국가	대한민국
한국엔지니어링플라스틱	창립	1987년
한국연소학회	본부	대한민국
한국연소학회	언어	한글
한국열린사이버대학교	국가	대한민국
한국열린사이버대학교	상징	부엉이
한국열린사이버대학교	창립	2000년
한국영상대학교	국가	대한민국
한국영상대학교	상징	배롱나무
한국영상대학교	상징	백일홍
한국영상대학교	상징	부엉이
한국영상대학교	창립	1993년
한국영상대학교	표어	성실
한국영화제작가협회상	국가	대한민국
한국영화특선	국가	대한민국
한국영화특선	제작	EBS 1TV
한국예탁결제원	국가	대한민국
한국예탁결제원	본사위치	대한민국
한국오츠카제약	국가	대한민국
한국오츠카제약	본사위치	대한민국
한국오츠카제약	산업	수입
한국오츠카제약	산업	판매
한국외국어대학교	국가	대한민국
한국외국어대학교	상징	미네르바
한국외국어대학교	상징	부엉이
한국외국인학교	국가	대한민국
한국외국인학교	상징	피닉스
한국원자력마이스터고등학교	개교	1968년
한국원자력마이스터고등학교	관할	경상북도교육청
한국원자력마이스터고등학교	교장	이유경
한국원자력마이스터고등학교	국가	대한민국
한국원자력의학원원자력병원	국가	대한민국
한국원자력의학원원자력병원	진료과	26
한국육영학교	개교	1993년
한국육영학교	관할	서울특별시교육청
한국육영학교	국가	대한민국
한국육종학회	본부	대한민국
한국육종학회	언어	한글
한국육종학회	창립	1969년
한국음식문화재단	본부	대한민국
한국음식문화재단	언어	한글
한국음악저작권대상	국가	대한민국
한국응용생명화학회	본부	대한민국
한국응용생명화학회	언어	한글
한국의료기기검사원	목적	검사
한국의료기기검사원	본부	대한민국
한국의료기기검사원	언어	한글
한국인삼공사	국가	대한민국
한국인삼공사	본사위치	대한민국
한국일보	국가	대한민국
한국일보	언어	한국어
한국작곡가협회	본부	대한민국
한국작곡가협회	언어	한글
한국장로교신학회	종류	신학회
한국장로교신학회	지도자	안명준
한국장로교신학회	창립	2002년
한국전람	국가	대한민국
한국전람	산업	서비스
한국전람	제품	박람회
한국전력기술	국가	대한민국
한국전력기술	모기관	한국전력공사
한국전력기술	본사위치	대한민국
한국전통문화고등학교	개교	2002년
한국전통문화고등학교	관할	전라북도교육청
한국전통문화고등학교	국가	대한민국
한국정보공학	국가	대한민국
한국정보공학	본사위치	대한민국
한국정보공학	창립	1990년
한국정보통신	국가	대한민국
한국정보통신	본사위치	대한민국
한국정보통신	인물	김철호
한국정보화진흥원	산업	부동산
한국정보화진흥원	산업	서비스
한국정책금융공사	국가	대한민국
한국정책금융공사	본사위치	대한민국
한국정책금융공사	전신	한국산업은행
한국정책금융공사	주주	대한민국 정부
한국조리과학고등학교	개교	1999년
한국조리과학고등학교	관할	경기도교육청
한국조리과학고등학교	교장	박동규
